rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,60_day_eng_rate_percent,influence_score_percent,avg_likes_per_post_calc
159,chrissyteigen,79.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,79.0,
160,ruben_onsu,75.0,0.0,0.0,0.0,0.0,0.0,0.0,Indonesia,0.0,75.0,
161,wizkhalifa,80.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,80.0,
162,hm,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Sweden,0.0,83.0,
163,anushkasen0408,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
164,prattprattpratt,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,84.0,
165,marvelstudios,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
166,wesleysafadao,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,80.0,
167,parineetichopra,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,84.0,
168,rkive,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
169,laudyacynthiabella,76.0,0.0,0.0,0.0,0.0,0.0,0.0,Indonesia,0.0,76.0,
170,antogriezmann,83.0,0.0,0.0,0.0,0.0,0.0,0.0,France,0.0,83.0,
171,gisel_la,85.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,85.0,
172,eminem,84.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,84.0,
173,mercedesbenz,77.0,0.0,0.0,0.0,0.0,0.0,0.0,British Virgin Islands,0.0,77.0,
174,colesprouse,81.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,81.0,
175,nattinatasha,47.0,0.0,0.0,0.0,0.0,0.0,0.0,Czech Republic,0.0,47.0,
176,shahidkapoor,82.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,82.0,
177,tigerjackieshroff,83.0,0.0,0.0,0.0,0.0,0.0,0.0,India,0.0,83.0,
178,kimberly.loaiza,78.0,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,0.0,78.0,
179,barackobama,81.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,81.0,
180,sachintendulkar,76.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,76.0,
181,simonemendes,72.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,72.0,
182,ivetesangalo,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,84.0,
183,lunamaya,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
184,toni.kr8s,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
185,dannapaola,68.0,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,0.0,68.0,
186,paollaoliveirareal,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,84.0,
187,blakelively,80.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,80.0,
188,adidasoriginals,83.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,83.0,
189,disney,77.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,77.0,
190,shaymitchell,83.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,83.0,
191,bmw,79.0,0.0,0.0,0.0,0.0,0.0,0.0,Germany,0.0,79.0,
192,danbilzerian,84.0,0.0,0.0,0.0,0.0,0.0,0.0,Canada,0.0,84.0,
193,khabib_nurmagomedov,63.0,0.0,0.0,0.0,0.0,0.0,0.0,Russia,0.0,63.0,
194,zidane,41.0,0.0,0.0,0.0,0.0,0.0,0.0,France,0.0,41.0,
195,sonamkapoor,75.0,0.0,0.0,0.0,0.0,0.0,0.0,India,0.0,75.0,
196,iambeckyg,71.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,71.0,
197,nancyajram,81.0,0.0,0.0,0.0,0.0,0.0,0.0,France,0.0,81.0,
198,luansantana,79.0,0.0,0.0,0.0,0.0,0.0,0.0,Brazil,0.0,79.0,
199,nickjonas,78.0,0.0,0.0,0.0,0.0,0.0,0.0,United States,0.0,78.0,
200,raisa6690,80.0,0.0,0.0,0.0,0.0,0.0,0.0,Indonesia,0.0,80.0,
